datetime,regime_state_a
2024-02-08 09:10:00,1
2024-02-08 09:13:00,1
2024-02-08 09:14:00,1
2024-02-08 09:27:00,0
2024-02-08 09:33:00,1
2024-02-08 09:35:00,1
2024-02-08 09:38:00,-1
2024-02-08 09:49:00,0
2024-02-08 10:00:00,-1
2024-02-08 10:48:00,-1
2024-02-08 10:54:00,0
2024-02-08 10:56:00,0
2024-02-08 10:58:00,1
2024-02-08 10:59:00,1
2024-02-08 11:01:00,-1
2024-02-08 11:04:00,1
2024-02-08 11:06:00,1
2024-02-08 11:39:00,1
2024-02-08 12:02:00,1
2024-02-08 12:03:00,1
2024-02-08 12:05:00,1
2024-02-08 12:09:00,1
2024-02-08 12:10:00,1
2024-02-08 12:13:00,1
2024-02-08 12:14:00,1
2024-02-08 12:15:00,1
2024-02-08 12:16:00,1
2024-02-08 12:25:00,1
2024-02-08 12:53:00,1
2024-02-08 13:28:00,1
2024-02-08 13:34:00,1
2024-02-08 13:36:00,1
2024-02-08 13:37:00,1
2024-02-08 13:52:00,1
2024-02-08 13:58:00,1
2024-02-08 14:05:00,1
2024-02-08 14:09:00,1
2024-02-08 14:10:00,1
2024-02-08 14:11:00,1
2024-02-08 14:13:00,1
2024-02-08 14:35:00,1
2024-02-08 14:36:00,1
2024-02-08 15:16:00,1
2024-02-08 15:42:00,1
2024-02-08 15:45:00,1
2024-02-08 15:46:00,1
2024-02-08 15:47:00,1
2024-02-08 15:49:00,1
2024-02-09 00:00:00,1
2024-02-09 00:01:00,1
2024-02-09 00:12:00,1
2024-02-09 01:32:00,1
2024-02-09 02:05:00,1
2024-02-09 02:06:00,1
2024-02-09 02:14:00,1
2024-02-09 02:15:00,1
2024-02-09 02:20:00,1
2024-02-09 02:26:00,1
2024-02-09 02:30:00,1
2024-02-09 02:36:00,1
2024-02-09 02:38:00,1
2024-02-09 02:44:00,1
2024-02-09 02:45:00,1
2024-02-09 02:48:00,1
2024-02-09 02:53:00,1
2024-02-09 02:54:00,1
2024-02-09 02:57:00,1
2024-02-09 03:26:00,1
